Observation id,Observation date,Media file,Total length,FPS,Subject,Behavior,Modifiers,Behavior type,Start (s),Stop (s),Duration (s),Comment start,Comment stop
for	QT01	20180625	18,2018-06-25 18:00:31,G:/My Drive/AllRounds/QT/QT01/05_forQT01_1_20180625_182043.avi,3183.860,14.0,Worker 4 (92),nectarforaging,,STATE,0.000,16.381,16.381,,
nest	QT01	20180702	16,2018-07-02 16:00:49,/Volumes/GoogleDrive/My Drive/2018.Awesome.Summer.Experiments/Videos/AllRounds/QT/QT01/05_nestQT01_1_20180702_164450.avi,3172.440,25.0,Queen (66),incubate,,STATE,0.000,176.800,176.800,,
nest	QT01	20180625	18,2018-06-25 18:00:37,/Volumes/GoogleDrive/My Drive/2018.Awesome.Summer.Experiments/Videos/AllRounds/QT/QT01/05_nestQT01_1_20180625_181950.avi,2921.680,25.0,Queen (66),incubate,,STATE,0.040,179.800,179.760,,
nest	QT01	20180703	19,2018-07-03 19:00:35,/Volumes/GoogleDrive/My Drive/2018.Awesome.Summer.Experiments/Videos/AllRounds/QT/QT01/05_nestQT01_1_20180703_190151.avi,3191.280,25.0,Queen (66),incubate,,STATE,0.040,300.159,300.119,,
nest	QT01	20180626	15,2018-06-26 15:00:32,/Volumes/GoogleDrive/.shortcut-targets-by-id/0BxvAlFfkSNK7UVZBbV9heVhLcjQ/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QT/QT01/05_nestQT01_1_20180626_150237.avi,3141.160,25.0,Queen (66),incubate,,STATE,0.320,109.879,109.559,,
nest	QT01	20180702	22,2018-07-02 22:00:28,/Volumes/GoogleDrive/.shortcut-targets-by-id/0BxvAlFfkSNK7UVZBbV9heVhLcjQ/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QT/QT01/05_nestQT01_1_20180702_224528.avi,3436.880,25.0,Queen (66),incubate,,STATE,0.800,17.240,16.440,,
nest	QT01	20180626	23,2018-06-26 23:00:16,/Volumes/GoogleDrive/.shortcut-targets-by-id/0BxvAlFfkSNK7UVZBbV9heVhLcjQ/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QT/QT01/05_nestQT01_1_20180626_233113.avi,3344.120,25.0,Queen (66),incubate,,STATE,0.840,302.079,301.239,,
nest	QT01	20180702	21,2018-07-02 21:00:26,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QT/QT01/05_nestQT01_1_20180702_214525.avi,3305.440,25.0,Queen (66),incubate,,STATE,2.352,18.078,15.726,,
nest	QT01	20180703	20,2018-07-03 20:00:32,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QT/QT01/05_nestQT01_1_20180703_200154.avi,3401.400,25.0,Queen (66),broodmanipulate,,STATE,2.750,22.702,19.952,,
nest	QT01	20180625	23,2018-06-25 23:00:49,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QT/QT01/05_nestQT01_1_20180625_232026.avi,3007.280,25.0,Queen (66),broodmanipulate,,STATE,6.275,14.280,8.005,,
nest	QT01	20180702	3,2018-07-02 03:00:24,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QT/QT01/05_nestQT01_1_20180702_034352.avi,3458.680,25.0,Queen (66),broodmanipulate,,STATE,6.506,16.153,9.647,,
nest	QT01	20180703	20,2018-07-03 20:00:32,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QT/QT01/05_nestQT01_1_20180703_200154.avi,3401.400,25.0,Worker 4 (92),feedsbrood,,POINT,12.105,12.105,NA,,
nest	QT01	20180702	3,2018-07-02 03:00:24,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QT/QT01/05_nestQT01_1_20180702_034352.avi,3458.680,25.0,Queen (66),laysegg,,STATE,16.154,201.788,185.634,,
nest	QT01	20180702	22,2018-07-02 22:00:28,/Volumes/GoogleDrive/.shortcut-targets-by-id/0BxvAlFfkSNK7UVZBbV9heVhLcjQ/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QT/QT01/05_nestQT01_1_20180702_224528.avi,3436.880,25.0,Queen (66),broodmanipulate,,STATE,18.440,31.200,12.760,,
nest	QT01	20180702	3,2018-07-02 03:00:24,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QT/QT01/05_nestQT01_1_20180702_034352.avi,3458.680,25.0,Queen (66),broodmanipulate,,STATE,19.302,176.321,157.019,,
nest	QT01	20180702	21,2018-07-02 21:00:26,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QT/QT01/05_nestQT01_1_20180702_214525.avi,3305.440,25.0,Queen (66),broodmanipulate,,STATE,21.479,35.026,13.547,,
nest	QT01	20180703	20,2018-07-03 20:00:32,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QT/QT01/05_nestQT01_1_20180703_200154.avi,3401.400,25.0,Queen (66),incubate,,STATE,22.703,41.726,19.023,,
nest	QT01	20180702	11,2018-07-02 11:00:40,/Volumes/GoogleDrive/.shortcut-targets-by-id/0BxvAlFfkSNK7UVZBbV9heVhLcjQ/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QT/QT01/05_nestQT01_1_20180702_114423.avi,3204.320,25.0,Worker 4 (92),feedsbrood,,POINT,22.926,22.926,NA,,
nest	QT01	20180626	19,2018-06-26 19:00:17,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QT/QT01/05_nestQT01_1_20180626_193108.avi,3369.160,25.0,Queen (66),broodmanipulate,,STATE,26.378,29.978,3.600,,
nest	QT01	20180626	19,2018-06-26 19:00:17,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QT/QT01/05_nestQT01_1_20180626_193108.avi,3369.160,25.0,Queen (66),broodmanipulate,,STATE,33.002,49.026,16.024,,
nest	QT01	20180703	20,2018-07-03 20:00:32,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QT/QT01/05_nestQT01_1_20180703_200154.avi,3401.400,25.0,Queen (66),broodmanipulate,,STATE,41.727,65.550,23.823,,
