Observation id,Observation date,Media file,Total length,FPS,Subject,Behavior,Modifiers,Behavior type,Start (s),Stop (s),Duration (s),Comment start,Comment stop
nest	QA05	20180703	13,2018-07-03 13:00:48,/Volumes/GoogleDrive/My Drive/2018.Awesome.Summer.Experiments/Videos/AllRounds/QA/QA05/05_nestQA05_1_20180703_135929.avi,3585.860,14.0,Queen (32),incubate,,STATE,0.000,80.525,80.525,,
nest	QA05	20180703	22,2019-07-03 22:00:30,/Volumes/GoogleDrive/My Drive/2018.Awesome.Summer.Experiments/Videos/AllRounds/QA/QA05/05_nestQA05_1_20180703_225959.avi,3586.570,14.0,Queen (32),broodmanipulate,,STATE,0.000,45.603,45.603,,
nest	QA05	20180703	18,2018-07-03 18:00:39,/Volumes/GoogleDrive/.shortcut-targets-by-id/0BxvAlFfkSNK7UVZBbV9heVhLcjQ/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QA/QA05/05_nestQA05_1_20180703_185953.avi,3593.070,14.0,Queen (32),incubate,,STATE,0.286,69.713,69.427,,
nest	QA05	20180711	2,2018-07-11 02:00:15,/Volumes/GoogleDrive/My Drive/2018.Awesome.Summer.Experiments/Videos/AllRounds/QA/QA05/05_nestQA05_1_20180711_022024.avi,3340.710,14.0,Queen (32),incubate,,STATE,0.454,264.271,263.817,,
nest	QA05	20180705	7,2018-07-05 07:00:02,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QA/QA05/05_nestQA05_1_20180705_070105.avi,3591.640,14.0,Queen (32),broodmanipulate,,STATE,1.005,194.506,193.501,,
nest	QA05	20180704	11,2018-07-04 11:00:51,/Volumes/GoogleDrive/.shortcut-targets-by-id/0BxvAlFfkSNK7UVZBbV9heVhLcjQ/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QA/QA05/05_nestQA05_1_20180704_110025.avi,3587.000,14.0,Queen (32),broodmanipulate,,STATE,1.214,300.213,298.999,,
nest	QA05	20180710	12,2018-07-10 12:00:16,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QA/QA05/05_nestQA05_1_20180710_121722.avi,3585.640,14.0,Queen (32),broodmanipulate,,STATE,1.631,48.601,46.970,,
nest	QA05	20180704	16,2018-07-04 16:00:58,/Volumes/GoogleDrive/My Drive/2018.Awesome.Summer.Experiments/Videos/AllRounds/QA/QA05/05_nestQA05_1_20180704_160037.avi,3590.430,14.0,No focal subject,incubate,,STATE,2.150,45.651,43.501,,
nest	QA05	20180703	14,2018-07-03 14:00:12,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QA/QA05/05_nestQA05_1_20180703_145931.avi,3598.860,14.0,Queen (32),broodmanipulate,,STATE,2.177,78.380,76.203,,
nest	QA05	20180710	9,2019-07-10 09:00:28,/Volumes/GoogleDrive/My Drive/2018.Awesome.Summer.Experiments/Videos/AllRounds/QA/QA05/05_nestQA05_1_20180710_091709.avi,3590.570,14.0,Queen (32),incubate,,STATE,2.714,262.929,260.215,,
