Observation id,Observation date,Media file,Total length,FPS,Subject,Behavior,Modifiers,Behavior type,Start (s),Stop (s),Duration (s),Comment start,Comment stop
for	QT02	20180629	8,2018-06-29 08:00:18,G:/My Drive/AllRounds/QT/QT02/05_forQT02_1_20180629_083539.avi,3041.200,25.0,Queen (85),pollenforaging,,STATE,0.000,15.751,15.751,,
for	QT02	20180705	18,2018-07-05 18:00:29,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects/2018.Awesome.Summer.Experiments/Videos/AllRounds/QT/QT02/05_forQT02_1_20180705_182045.avi,3322.840,25.0,Queen (85),nectarforaging,,STATE,0.000,14.751,14.751,,
nest	QT02	20180629	16,2018-06-29 16:00:00,/Volumes/GoogleDrive/My Drive/2018.Awesome.Summer.Experiments/Videos/AllRounds/QT/QT02/05_nestQT02_1_20180629_163925.avi,3473.680,25.0,Queen (85),broodmanipulate,,STATE,0.000,180.779,180.779,,
nest	QT02	20180629	4,2018-06-29 04:00:32,/Volumes/GoogleDrive/My Drive/2018.Awesome.Summer.Experiments/Videos/AllRounds/QT/QT02/05_nestQT02_1_20180629_043812.avi,2800.480,25.0,Queen (85),broodmanipulate,,STATE,0.000,272.201,272.201,,
nest	QT02	20180704	18,2018-07-04 18:00:45,/Volumes/GoogleDrive/My Drive/2018.Awesome.Summer.Experiments/Videos/AllRounds/QT/QT02/05_nestQT02_1_20180704_180439.avi,3317.160,25.0,Queen (85),broodmanipulate,,STATE,0.040,275.240,275.200,,
nest	QT02	20180704	15,2018-07-04 15:00:02,/Volumes/GoogleDrive/.shortcut-targets-by-id/0BxvAlFfkSNK7UVZBbV9heVhLcjQ/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QT/QT02/05_nestQT02_1_20180704_150432.avi,3394.240,25.0,Queen (85),broodmanipulate,,STATE,0.200,4.600,4.400,,
nest	QT02	20180704	1,2018-07-04 01:00:43,/Volumes/GoogleDrive/My Drive/2018.Awesome.Summer.Experiments/Videos/AllRounds/QT/QT02/05_nestQT02_1_20180704_010334.avi,3249.800,25.0,Queen (85),broodmanipulate,,STATE,0.480,35.840,35.360,,
nest	QT02	20180628	22,2018-06-28 22:00:59,/Volumes/GoogleDrive/.shortcut-targets-by-id/0BxvAlFfkSNK7UVZBbV9heVhLcjQ/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QT/QT02/05_nestQT02_1_20180628_223750.avi,2964.680,25.0,Queen (85),incubate,,STATE,0.720,43.480,42.760,,
nest	QT02	20180629	23,2018-06-29 23:00:46,/Volumes/GoogleDrive/.shortcut-targets-by-id/0BxvAlFfkSNK7UVZBbV9heVhLcjQ/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QT/QT02/05_nestQT02_1_20180629_234010.avi,3326.880,25.0,Queen (85),broodmanipulate,,STATE,0.760,301.119,300.359,,
nest	QT02	20180705	4,2018-07-05 04:00:12,/Volumes/GoogleDrive/.shortcut-targets-by-id/0BxvAlFfkSNK7UVZBbV9heVhLcjQ/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QT/QT02/05_nestQT02_1_20180705_040548.avi,3234.120,25.0,Queen (85),broodmanipulate,,STATE,0.760,72.840,72.080,,
nest	QT02	20180704	0,2018-07-04 00:00:50,/Volumes/GoogleDrive/.shortcut-targets-by-id/0BxvAlFfkSNK7UVZBbV9heVhLcjQ/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QT/QT02/05_nestQT02_1_20180704_000315.avi,3125.960,25.0,Queen (85),broodmanipulate,,STATE,1.320,150.080,148.760,,
nest	QT02	20180629	20,2018-06-29 20:00:31,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QT/QT02/05_nestQT02_1_20180629_203943.avi,3382.880,25.0,Queen (85),broodmanipulate,,STATE,1.656,95.825,94.169,,
nest	QT02	20180629	16,2018-06-29 16:00:00,/Volumes/GoogleDrive/My Drive/2018.Awesome.Summer.Experiments/Videos/AllRounds/QT/QT02/05_nestQT02_1_20180629_163925.avi,3473.680,25.0,Queen (85),feedsbrood,,POINT,1.876,1.876,NA,,
for	QT02	20180705	8,2018-07-05 08:00:31,/Volumes/GoogleDrive/My Drive/Videos/AllRounds/QT/QT02/05_forQT02_1_20180705_080653.avi,3186.720,25.0,Worker 3 (11),nectarforaging,,STATE,2.401,132.490,130.089,,
nest	QT02	20180705	8,2018-07-05 08:00:52,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QT/QT02/05_nestQT02_1_20180705_080559.avi,3162.640,25.0,Queen (85),broodmanipulate,,STATE,2.726,189.827,187.101,,
nest	QT02	20180705	2,2018-07-05 02:00:35,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QT/QT02/05_nestQT02_1_20180705_020540.avi,3259.800,25.0,Queen (85),incubate,,STATE,3.578,42.804,39.226,,
nest	QT02	20180630	13,2018-06-30 13:00:50,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QT/QT02/05_nestQT02_1_20180630_134145.avi,3237.920,25.0,Queen (85),broodmanipulate,,STATE,4.375,81.001,76.626,,
for	QT02	20180629	6,2018-06-29 06:00:04,G:/My Drive/WoodardLab.shared/Projects/2018.Awesome.Summer.Experiments/Videos/AllRounds/QT/QT02/05_forQT02_1_20180629_063523.avi,2851.640,25.0,Queen (85),pollenforaging,,STATE,13.000,21.551,8.551,,
nest	QT02	20180629	8,2018-06-29 08:00:09,/Volumes/GoogleDrive/.shortcut-targets-by-id/0BxvAlFfkSNK7UVZBbV9heVhLcjQ/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QT/QT02/05_nestQT02_1_20180629_083821.avi,2994.000,25.0,Worker 3 (11),feedsbrood,,POINT,14.178,14.178,NA,,
nest	QT02	20180628	14,2018-06-28 14:00:49,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QT/QT02/05_nestQT02_1_20180628_143630.avi,2808.640,25.0,Queen (85),broodmanipulate,,STATE,14.980,16.531,1.551,,
nest	QT02	20180704	15,2018-07-04 15:00:02,/Volumes/GoogleDrive/.shortcut-targets-by-id/0BxvAlFfkSNK7UVZBbV9heVhLcjQ/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QT/QT02/05_nestQT02_1_20180704_150432.avi,3394.240,25.0,Queen (85),broodmanipulate,,STATE,15.720,33.240,17.520,,
nest	QT02	20180628	14,2018-06-28 14:00:49,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QT/QT02/05_nestQT02_1_20180628_143630.avi,2808.640,25.0,Queen (85),broodmanipulate,,STATE,17.553,29.530,11.977,,
nest	QT02	20180629	4,2018-06-29 04:00:32,/Volumes/GoogleDrive/My Drive/2018.Awesome.Summer.Experiments/Videos/AllRounds/QT/QT02/05_nestQT02_1_20180629_043812.avi,2800.480,25.0,Worker 4 (29),feedsbrood,,POINT,23.278,23.278,NA,,
nest	QT02	20180629	4,2018-06-29 04:00:32,/Volumes/GoogleDrive/My Drive/2018.Awesome.Summer.Experiments/Videos/AllRounds/QT/QT02/05_nestQT02_1_20180629_043812.avi,2800.480,25.0,Worker 3 (11),feedsbrood,,POINT,23.803,23.803,NA,,
nest	QT02	20180630	13,2018-06-30 13:00:50,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QT/QT02/05_nestQT02_1_20180630_134145.avi,3237.920,25.0,Queen (85),feedsbrood,,POINT,25.277,25.277,NA,,
nest	QT02	20180629	20,2018-06-29 20:00:31,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QT/QT02/05_nestQT02_1_20180629_203943.avi,3382.880,25.0,Queen (85),feedsbrood,,POINT,25.527,25.527,NA,,
for	QT02	20180629	8,2018-06-29 08:00:18,G:/My Drive/AllRounds/QT/QT02/05_forQT02_1_20180629_083539.avi,3041.200,25.0,Queen (85),nectarforaging,,STATE,25.996,32.246,6.250,,
nest	QT02	20180628	14,2018-06-28 14:00:49,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QT/QT02/05_nestQT02_1_20180628_143630.avi,2808.640,25.0,Queen (85),broodmanipulate,,STATE,31.056,35.701,4.645,,
nest	QT02	20180628	14,2018-06-28 14:00:49,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QT/QT02/05_nestQT02_1_20180628_143630.avi,2808.640,25.0,Queen (85),broodmanipulate,,STATE,37.778,39.851,2.073,,
nest	QT02	20180706	11,2018-07-06 11:00:56,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QT/QT02/05_nestQT02_1_20180706_112128.avi,1474.240,25.0,Worker 4 (29),feedsbrood,,POINT,38.981,38.981,NA,,
nest	QT02	20180704	1,2018-07-04 01:00:43,/Volumes/GoogleDrive/My Drive/2018.Awesome.Summer.Experiments/Videos/AllRounds/QT/QT02/05_nestQT02_1_20180704_010334.avi,3249.800,25.0,Queen (85),broodmanipulate,,STATE,39.960,46.120,6.160,,
nest	QT02	20180705	2,2018-07-05 02:00:35,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QT/QT02/05_nestQT02_1_20180705_020540.avi,3259.800,25.0,Queen (85),broodmanipulate,,STATE,42.805,64.455,21.650,,
nest	QT02	20180629	6,2018-06-29 06:00:02,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QT/QT02/05_nestQT02_1_20180629_063814.avi,2833.400,25.0,Worker 3 (11),feedsbrood,,POINT,43.181,43.181,NA,,
nest	QT02	20180704	0,2018-07-04 00:00:50,/Volumes/GoogleDrive/.shortcut-targets-by-id/0BxvAlFfkSNK7UVZBbV9heVhLcjQ/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QT/QT02/05_nestQT02_1_20180704_000315.avi,3125.960,25.0,Queen (85),feedsbrood,,POINT,46.354,46.354,NA,,
