Observation id,Observation date,Media file,Total length,FPS,Subject,Behavior,Modifiers,Behavior type,Start (s),Stop (s),Duration (s),Comment start,Comment stop
nest	QT12	20181108	14,2018-11-08 14:00:40,/Volumes/GoogleDrive/My Drive/2018.Awesome.Summer.Experiments/Videos/AllRounds/QT/QT12/05_nestQT12_1_20181108_144615.avi,883.040,25.0,Queen (93),incubate,,STATE,0.040,19.000,18.960,,
nest	QT12	20181108	3,2018-11-08 03:00:57,/Volumes/GoogleDrive/My Drive/2018.Awesome.Summer.Experiments/Videos/AllRounds/QT/QT12/05_nestQT12_1_20181108_032926.avi,1529.120,25.0,Queen (93),incubate,,STATE,0.040,76.280,76.240,,
nest	QT12	20181115	1,2018-11-15 01:00:38,/Volumes/GoogleDrive/.shortcut-targets-by-id/0BxvAlFfkSNK7UVZBbV9heVhLcjQ/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QT/QT12/05_nestQT12_1_20181115_014000.avi,58.520,25.0,Queen (93),incubate,,STATE,0.960,58.479,57.519,,
nest	QT12	20181113	6,2018-11-13 06:00:43,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QT/QT12/05_nestQT12_1_20181113_063708.avi,47.160,25.0,Queen (93),incubate,,STATE,1.277,8.653,7.376,,
nest	QT12	20181108	4,2018-11-08 04:00:38,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QT/QT12/05_nestQT12_1_20181108_042947.avi,929.880,25.0,Queen (93),broodmanipulate,,STATE,1.651,32.227,30.576,,
nest	QT12	20181109	15,2018-11-09 15:00:21,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QT/QT12/05_nestQT12_1_20181109_154526.avi,71.520,25.0,Queen (93),broodmanipulate,,STATE,1.651,26.375,24.724,,
nest	QT12	20181114	0,2018-11-14 00:00:23,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QT/QT12/05_nestQT12_1_20181114_000651.avi,58.160,25.0,Queen (93),broodmanipulate,,STATE,1.781,18.276,16.495,,
nest	QT12	20181107	18,2018-11-07 18:00:16,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QT/QT12/05_nestQT12_1_20181117_180136.avi,89.120,25.0,Queen (93),incubate,,STATE,2.529,28.102,25.573,,
nest	QT12	20181107	16,2019-10-21 13:02:07,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QT/QT12/05_nestQT12_1_20181107_162805.avi,2176.960,25.0,Queen (93),incubate,,STATE,4.650,15.810,11.160,,
nest	QT12	20181113	0,2018-11-13 00:00:20,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QT/QT12/05_nestQT12_1_20181113_003329.avi,23.880,25.0,Queen (93),broodmanipulate,,STATE,10.350,23.232,12.882,,
nest	QT12	20181108	14,2018-11-08 14:00:40,/Volumes/GoogleDrive/My Drive/2018.Awesome.Summer.Experiments/Videos/AllRounds/QT/QT12/05_nestQT12_1_20181108_144615.avi,883.040,25.0,Worker 2 (77),feedsbrood,,POINT,11.828,11.828,NA,,
nest	QT12	20181113	6,2018-11-13 06:00:43,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QT/QT12/05_nestQT12_1_20181113_063708.avi,47.160,25.0,Queen (93),broodmanipulate,,STATE,17.076,24.551,7.475,,
nest	QT12	20181107	16,2019-10-21 13:02:07,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QT/QT12/05_nestQT12_1_20181107_162805.avi,2176.960,25.0,Queen (93),broodmanipulate,,STATE,17.361,22.461,5.100,,
nest	QT12	20181109	17,2018-11-09 17:00:01,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QT/QT12/05_nestQT12_1_20181109_174941.avi,64.200,25.0,Queen (93),broodmanipulate,,STATE,18.979,20.528,1.549,,
nest	QT12	20181108	6,2018-11-06 06:00:14,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QT/QT12/05_nestQT12_1_20181108_063012.avi,1675.600,25.0,Queen (93),broodmanipulate,,STATE,19.627,26.701,7.074,,
nest	QT12	20181108	3,2018-11-08 03:00:57,/Volumes/GoogleDrive/My Drive/2018.Awesome.Summer.Experiments/Videos/AllRounds/QT/QT12/05_nestQT12_1_20181108_032926.avi,1529.120,25.0,Worker 2 (77),feedsbrood,,POINT,21.951,21.951,NA,,
nest	QT12	20181113	0,2018-11-13 00:00:20,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QT/QT12/05_nestQT12_1_20181113_003329.avi,23.880,25.0,Queen (93),end,,POINT,23.233,23.233,NA,,
nest	QT12	20181109	17,2018-11-09 17:00:01,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QT/QT12/05_nestQT12_1_20181109_174941.avi,64.200,25.0,Queen (93),broodmanipulate,,STATE,23.580,24.606,1.026,,
nest	QT12	20181107	16,2019-10-21 13:02:07,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QT/QT12/05_nestQT12_1_20181107_162805.avi,2176.960,25.0,Queen (93),broodmanipulate,,STATE,26.065,31.765,5.700,,
nest	QT12	20181109	15,2018-11-09 15:00:21,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QT/QT12/05_nestQT12_1_20181109_154526.avi,71.520,25.0,Queen (93),incubate,,STATE,26.376,48.915,22.539,,
nest	QT12	20181107	18,2018-11-07 18:00:16,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QT/QT12/05_nestQT12_1_20181117_180136.avi,89.120,25.0,Queen (93),incubate,,STATE,29.656,88.999,59.343,,
nest	QT12	20181107	16,2019-10-21 13:02:07,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QT/QT12/05_nestQT12_1_20181107_162805.avi,2176.960,25.0,Queen (93),broodmanipulate,,STATE,39.541,43.162,3.621,,
nest	QT12	20181113	6,2018-11-13 06:00:43,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QT/QT12/05_nestQT12_1_20181113_063708.avi,47.160,25.0,Queen (93),end,,POINT,47.000,47.000,NA,,
for	QT12	20181113	6,2018-11-13 06:00:19,/Volumes/GoogleDrive/My Drive/Videos/AllRounds/QT/QT12/05_forQT12_1_20181113_060306.avi,59.440,25.0,Worker 2 (77),nectarforaging,,STATE,48.563,59.053,10.490,,
nest	QT12	20181108	4,2018-11-08 04:00:38,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QT/QT12/05_nestQT12_1_20181108_042947.avi,929.880,25.0,Queen (93),broodmanipulate,,STATE,51.727,59.875,8.148,,
nest	QT12	20181108	6,2018-11-06 06:00:14,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QT/QT12/05_nestQT12_1_20181108_063012.avi,1675.600,25.0,Queen (93),broodmanipulate,,STATE,52.626,55.901,3.275,,
nest	QT12	20181115	1,2018-11-15 01:00:38,/Volumes/GoogleDrive/.shortcut-targets-by-id/0BxvAlFfkSNK7UVZBbV9heVhLcjQ/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QT/QT12/05_nestQT12_1_20181115_014000.avi,58.520,25.0,Queen (93),end,,POINT,58.480,58.480,NA,,
nest	QT12	20181108	4,2018-11-08 04:00:38,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QT/QT12/05_nestQT12_1_20181108_042947.avi,929.880,25.0,Queen (93),broodmanipulate,,STATE,61.501,96.156,34.655,,
nest	QT12	20181108	6,2018-11-06 06:00:14,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QT/QT12/05_nestQT12_1_20181108_063012.avi,1675.600,25.0,Queen (93),broodmanipulate,,STATE,61.880,62.976,1.096,,
nest	QT12	20181108	6,2018-11-06 06:00:14,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QT/QT12/05_nestQT12_1_20181108_063012.avi,1675.600,25.0,Queen (93),broodmanipulate,,STATE,67.326,69.452,2.126,,
nest	QT12	20181108	6,2018-11-06 06:00:14,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QT/QT12/05_nestQT12_1_20181108_063012.avi,1675.600,25.0,Queen (93),broodmanipulate,,STATE,76.476,81.376,4.900,,
nest	QT12	20181108	3,2018-11-08 03:00:57,/Volumes/GoogleDrive/My Drive/2018.Awesome.Summer.Experiments/Videos/AllRounds/QT/QT12/05_nestQT12_1_20181108_032926.avi,1529.120,25.0,Queen (93),broodmanipulate,,STATE,79.920,132.480,52.560,,
