Observation id,Observation date,Media file,Total length,FPS,Subject,Behavior,Modifiers,Behavior type,Start (s),Stop (s),Duration (s),Comment start,Comment stop
nest	QT11	20181112	9,2018-11-12 09:00:22,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QT/QT11/05_nestQT11_1_20181112_092245.avi,1047.280,25.0,Queen (95),incubate,,STATE,1.657,15.846,14.189,,
nest	QT11	20181114	12,2018-11-14 12:00:59,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QT/QT11/05_nestQT11_1_20181114_121052.avi,772.880,25.0,Queen (95),incubate,,STATE,2.529,27.725,25.196,,
nest	QT11	20181114	19,2018-11-14 19:00:03,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QT/QT11/05_nestQT11_1_20181114_195256.avi,1355.720,25.0,Queen (95),broodmanipulate,,STATE,3.077,28.305,25.228,,
nest	QT11	20181112	1,2019-08-11 01:00:45,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QT/QT11/05_nestQT11_1_20181112_012030.avi,1288.480,25.0,Queen (95),broodmanipulate,,STATE,3.255,33.100,29.845,,
nest	QT11	20181114	5,2018-11-14 05:00:07,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QT/QT11/05_nestQT11_1_20181114_050914.avi,1171.680,25.0,Queen (95),incubate,,STATE,3.800,41.176,37.376,,
nest	QT11	20181120	1,2018-11-20 01:00:04,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QT/QT11/05_nestQT11_1_20181120_010111.avi,1092.040,25.0,Queen (95),incubate,,STATE,4.400,125.302,120.902,,
nest	QT11	20181119	21,2018-11-19 21:00:35,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QT/QT11/05_nestQT11_1_20181119_211003.avi,1711.960,25.0,Queen (95),incubate,,STATE,5.625,304.979,299.354,,
nest	QT11	20181120	13,2018-11-20 13:00:31,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QT/QT11/05_nestQT11_1_20181120_130456.avi,1698.320,25.0,Queen (95),incubate,,STATE,5.931,47.677,41.746,,
nest	QT11	20181114	12,2018-11-14 12:00:59,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QT/QT11/05_nestQT11_1_20181114_121052.avi,772.880,25.0,Worker 2 (71),fillshoneypot,,POINT,8.156,8.156,NA,,
nest	QT11	20181112	9,2018-11-12 09:00:22,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QT/QT11/05_nestQT11_1_20181112_092245.avi,1047.280,25.0,Queen (95),broodmanipulate,,STATE,16.918,34.169,17.251,,
