Observation id,Observation date,Media file,Total length,FPS,Subject,Behavior,Modifiers,Behavior type,Start (s),Stop (s),Duration (s),Comment start,Comment stop
for	QF14	20181114	8,2018-11-14 08:00:09,/Volumes/GoogleDrive/My Drive/Videos/AllRounds/QF/QF14/05_forQF14_1_20181114_084223.avi,63.160,25.0,Worker 4 (87),pollenforaging,,STATE,0.000,14.201,14.201,,
nest	QF14	20181119	14,2018-11-19 14:00:23,/Volumes/GoogleDrive/My Drive/2018.Awesome.Summer.Experiments/Videos/AllRounds/QF/QF14/05_nestQF14_1_20181119_141813.avi,73.140,22.0,Queen (63),incubate,,STATE,0.500,26.909,26.409,,
nest	QF14	20181121	22,2018-11-21 22:00:08,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QF/QF14/05_nestQF14_1_20181121_223401.avi,1897.770,22.0,Queen (63),incubate,,STATE,0.529,190.304,189.775,,
nest	QF14	20181120	5,2018-11-20 05:00:21,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QF/QF14/05_nestQF14_1_20181120_053332.avi,71.000,22.0,Queen (63),incubate,,STATE,1.530,29.801,28.271,,
nest	QF14	20181119	3,2018-11-19 03:00:27,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QF/QF14/05_nestQF14_1_20181119_035801.avi,301.091,22.0,Queen (63),incubate,,STATE,2.176,26.701,24.525,,
for	QF14	20181119	14,2018-11-19 14:00:45,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects/2018.Awesome.Summer.Experiments/Videos/AllRounds/QF/QF14/05_forQF14_1_20181119_143435.avi,65.640,25.0,Worker 4 (87),pollenforaging,,STATE,2.380,11.550,9.170,,
nest	QF14	20181119	23,2018-11-19 23:00:38,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QF/QF14/05_nestQF14_1_20181119_235729.avi,56.860,22.0,Queen (63),broodmanipulate,,STATE,3.506,29.630,26.124,,
nest	QF14	20181114	22,2018-11-14 22:00:03,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QF/QF14/05_nestQF14_1_20181114_223245.avi,73.000,22.0,Queen (63),incubate,,STATE,4.181,27.876,23.695,,
for	QF14	20181115	4,2018-11-15 04:00:17,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/AllRounds/QF/QF14/05_forQF14_1_20181115_043801.avi,58.760,25.0,Worker 4 (87),nectarforaging,,STATE,10.303,47.003,36.700,,
nest	QF14	20181121	15,2021-11-15 15:00:42,/Volumes/GoogleDrive/.shortcut-targets-by-id/0BxvAlFfkSNK7UVZBbV9heVhLcjQ/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QF/QF14/05_nestQF14_1_20181121_153312.avi,1789.090,22.0,Queen (63),incubate,,STATE,10.465,76.869,66.404,,
nest	QF14	20181121	3,2018-11-21 03:00:05,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QF/QF14/05_nestQF14_1_20181121_033131.avi,1863.500,22.0,Queen (63),incubate,,STATE,10.829,40.106,29.277,,
nest	QF14	20181114	2,2018-11-14 02:00:41,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QF/QF14/05_nestQF14_1_20181114_022906.avi,61.180,22.0,Queen (63),broodmanipulate,,STATE,12.477,21.759,9.282,,
nest	QF14	20181121	22,2018-11-21 22:00:08,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QF/QF14/05_nestQF14_1_20181121_223401.avi,1897.770,22.0,Worker 4 (87),fillshoneypot,,POINT,16.889,16.889,NA,,
