Observation id,Observation date,Media file,Total length,FPS,Subject,Behavior,Modifiers,Behavior type,Start (s),Stop (s),Duration (s),Comment start,Comment stop
nest	QT04	20180630	9,2018-06-30 09:00:24,/Volumes/GoogleDrive/My Drive/2018.Awesome.Summer.Experiments/Videos/AllRounds/QT/QT04/05_nestQT04_1_20180630_094046.avi,3214.040,25.0,Queen (62),broodmanipulate,,STATE,0.040,7.680,7.640,,
nest	QT04	20180629	14,2018-06-29 14:00:29,/Volumes/GoogleDrive/.shortcut-targets-by-id/0BxvAlFfkSNK7UVZBbV9heVhLcjQ/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QT/QT04/05_nestQT04_1_20180629_143904.avi,3042.520,25.0,Queen (62),broodmanipulate,,STATE,6.320,10.760,4.440,,
nest	QT04	20180630	8,2018-06-30 08:00:00,/Volumes/GoogleDrive/.shortcut-targets-by-id/0BxvAlFfkSNK7UVZBbV9heVhLcjQ/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QT/QT04/05_nestQT04_1_20180630_084042.avi,3196.800,25.0,Queen (62),incubate,,STATE,9.640,20.160,10.520,,
nest	QT04	20180706	6,2019-07-06 06:00:44,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QT/QT04/05_nestQT04_1_20180706_062042.avi,3274.640,25.0,Queen (62),broodmanipulate,,STATE,11.955,18.425,6.470,,
nest	QT04	20180629	11,2019-06-29 11:00:39,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QT/QT04/05_nestQT04_1_20180629_113856.avi,2881.720,25.0,Queen (62),broodmanipulate,,STATE,15.376,17.550,2.174,,
nest	QT04	20180629	10,2018-06-29 10:00:31,/Volumes/GoogleDrive/My Drive/2018.Awesome.Summer.Experiments/Videos/AllRounds/QT/QT04/05_nestQT04_1_20180629_103824.avi,2820.440,25.0,Queen (62),incubate,,STATE,20.040,33.280,13.240,,
nest	QT04	20180630	8,2018-06-30 08:00:00,/Volumes/GoogleDrive/.shortcut-targets-by-id/0BxvAlFfkSNK7UVZBbV9heVhLcjQ/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QT/QT04/05_nestQT04_1_20180630_084042.avi,3196.800,25.0,Queen (62),broodmanipulate,,STATE,22.960,33.400,10.440,,
nest	QT04	20180630	9,2018-06-30 09:00:24,/Volumes/GoogleDrive/My Drive/2018.Awesome.Summer.Experiments/Videos/AllRounds/QT/QT04/05_nestQT04_1_20180630_094046.avi,3214.040,25.0,Queen (62),broodmanipulate,,STATE,31.440,37.760,6.320,,
nest	QT04	20180705	9,2018-07-05 09:00:15,/Volumes/GoogleDrive/My Drive/2018.Awesome.Summer.Experiments/Videos/AllRounds/QT/QT04/05_nestQT04_1_20180705_090554.avi,3307.480,25.0,Queen (62),broodmanipulate,,STATE,42.720,48.720,6.000,,
nest	QT04	20180629	14,2018-06-29 14:00:29,/Volumes/GoogleDrive/.shortcut-targets-by-id/0BxvAlFfkSNK7UVZBbV9heVhLcjQ/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QT/QT04/05_nestQT04_1_20180629_143904.avi,3042.520,25.0,Queen (62),broodmanipulate,,STATE,42.920,48.880,5.960,,
