Observation id,Observation date,Media file,Total length,FPS,Subject,Behavior,Modifiers,Behavior type,Start (s),Stop (s),Duration (s),Comment start,Comment stop
nest	QA01	20180630	13,2019-06-30 13:00:22,/Volumes/GoogleDrive/My Drive/2018.Awesome.Summer.Experiments/Videos/AllRounds/QA/QA01/05_nestQA01_1_20180630_133806.avi,3390.760,25.0,Queen,broodmanipulate,,STATE,0.000,41.655,41.655,,
nest	QA01	20180705	20,2019-01-10 11:32:36,/Volumes/GoogleDrive/My Drive/2018.Awesome.Summer.Experiments/Videos/AllRounds/QA/QA01/05_nestQA01_1_20180705_200127.avi,3600.000,25.0,Queen,broodmanipulate,,STATE,0.040,109.560,109.520,,
nest	QA01	20180706	10,2018-07-06 10:00:18,/Volumes/GoogleDrive/My Drive/2018.Awesome.Summer.Experiments/Videos/AllRounds/QA/QA01/05_nestQA01_1_20180706_100150.avi,3599.200,25.0,Queen,incubate,,STATE,0.120,300.440,300.320,,
nest	QA01	20180705	17,2018-07-05 17:00:09,/Volumes/GoogleDrive/.shortcut-targets-by-id/0BxvAlFfkSNK7UVZBbV9heVhLcjQ/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QA/QA01/05_nestQA01_1_20180705_170121.avi,3600.080,25.0,Queen,broodmanipulate,,STATE,0.880,300.599,299.719,,
nest	QA01	20180705	21,2018-07-05 21:00:29,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QA/QA01/05_nestQA01_1_20180705_210129.avi,3600.240,25.0,Queen,incubate,,STATE,1.005,117.954,116.949,,
nest	QA01	20180629	23,2018-06-29 23:00:57,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QA/QA01/05_nestQA01_1_20180629_233655.avi,3444.120,25.0,Queen,broodmanipulate,,STATE,1.077,94.177,93.100,,
nest	QA01	20180630	3,2018-06-30 03:00:04,/Volumes/GoogleDrive/My Drive/2018.Awesome.Summer.Experiments/Videos/AllRounds/QA/QA01/05_nestQA01_1_20180630_033721.avi,3424.960,25.0,Queen,broodmanipulate,,STATE,1.320,16.440,15.120,,
nest	QA01	20180630	17,2018-06-30 17:00:01,/Volumes/GoogleDrive/.shortcut-targets-by-id/0BxvAlFfkSNK7UVZBbV9heVhLcjQ/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QA/QA01/05_nestQA01_1_20180630_173826.avi,3438.120,25.0,Queen,incubate,,STATE,1.331,104.675,103.344,,
nest	QA01	20180707	0,2018-07-07 00:00:33,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QA/QA01/05_nestQA01_1_20180707_000213.avi,3600.760,25.0,Queen,broodmanipulate,,STATE,2.055,210.353,208.298,,
nest	QA01	20180706	3,2018-07-06 03:00:01,/Volumes/GoogleDrive/.shortcut-targets-by-id/0BxvAlFfkSNK7UVZBbV9heVhLcjQ/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QA/QA01/05_nestQA01_1_20180706_030138.avi,3600.760,25.0,Queen,broodmanipulate,,STATE,2.130,235.005,232.875,,
nest	QA01	20180705	12,2018-07-05 12:00:04,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QA/QA01/05_nestQA01_1_20180705_120112.avi,3600.360,25.0,Queen,broodmanipulate,,STATE,2.179,26.426,24.247,,
nest	QA01	20180707	1,2018-07-07 01:00:47,/Volumes/GoogleDrive/.shortcut-targets-by-id/0BxvAlFfkSNK7UVZBbV9heVhLcjQ/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QA/QA01/05_nestQA01_1_20180707_010214.avi,3600.880,25.0,Queen,broodmanipulate,,STATE,2.520,300.279,297.759,,
nest	QA01	20180630	3,2018-06-30 03:00:04,/Volumes/GoogleDrive/My Drive/2018.Awesome.Summer.Experiments/Videos/AllRounds/QA/QA01/05_nestQA01_1_20180630_033721.avi,3424.960,25.0,Queen,incubate,,STATE,17.360,300.480,283.120,,
nest	QA01	20180630	14,2018-06-30 14:00:27,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QA/QA01/05_nestQA01_1_20180630_143808.avi,3401.480,25.0,Queen,broodmanipulate,,STATE,21.353,26.781,5.428,,
nest	QA01	20180630	14,2018-06-30 14:00:27,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QA/QA01/05_nestQA01_1_20180630_143808.avi,3401.480,25.0,Queen,broodmanipulate,,STATE,28.403,34.356,5.953,,
nest	QA01	20180630	14,2018-06-30 14:00:27,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QA/QA01/05_nestQA01_1_20180630_143808.avi,3401.480,25.0,Queen,broodmanipulate,,STATE,40.277,73.724,33.447,,
nest	QA01	20180630	13,2019-06-30 13:00:22,/Volumes/GoogleDrive/My Drive/2018.Awesome.Summer.Experiments/Videos/AllRounds/QA/QA01/05_nestQA01_1_20180630_133806.avi,3390.760,25.0,Queen,incubate,,STATE,46.450,300.449,253.999,,
nest	QA01	20180629	16,2018-06-29 16:00:10,/Volumes/GoogleDrive/.shortcut-targets-by-id/0BxvAlFfkSNK7UVZBbV9heVhLcjQ/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QA/QA01/05_nestQA01_1_20180629_163631.avi,3378.480,25.0,Queen,broodmanipulate,,STATE,57.040,77.599,20.559,,
nest	QA01	20180630	14,2018-06-30 14:00:27,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QA/QA01/05_nestQA01_1_20180630_143808.avi,3401.480,25.0,Queen,incubate,,STATE,73.725,173.656,99.931,,
nest	QA01	20180629	16,2018-06-29 16:00:10,/Volumes/GoogleDrive/.shortcut-targets-by-id/0BxvAlFfkSNK7UVZBbV9heVhLcjQ/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QA/QA01/05_nestQA01_1_20180629_163631.avi,3378.480,25.0,Queen,incubate,,STATE,77.600,81.839,4.239,,
nest	QA01	20180629	16,2018-06-29 16:00:10,/Volumes/GoogleDrive/.shortcut-targets-by-id/0BxvAlFfkSNK7UVZBbV9heVhLcjQ/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QA/QA01/05_nestQA01_1_20180629_163631.avi,3378.480,25.0,Queen,broodmanipulate,,STATE,81.840,290.000,208.160,,
nest	QA01	20180630	12,2018-06-30 12:00:56,/Volumes/GoogleDrive/.shortcut-targets-by-id/0BxvAlFfkSNK7UVZBbV9heVhLcjQ/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QA/QA01/05_nestQA01_1_20180630_123802.avi,3443.520,25.0,Queen,broodmanipulate,,STATE,82.830,88.024,5.194,,
nest	QA01	20180629	23,2018-06-29 23:00:57,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QA/QA01/05_nestQA01_1_20180629_233655.avi,3444.120,25.0,Queen,incubate,,STATE,94.178,309.131,214.953,,
nest	QA01	20180705	17,2018-07-05 17:00:09,/Volumes/GoogleDrive/.shortcut-targets-by-id/0BxvAlFfkSNK7UVZBbV9heVhLcjQ/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QA/QA01/05_nestQA01_1_20180705_170121.avi,3600.080,25.0,Queen,feedsbrood,,POINT,106.307,106.307,NA,,
nest	QA01	20180630	17,2018-06-30 17:00:01,/Volumes/GoogleDrive/.shortcut-targets-by-id/0BxvAlFfkSNK7UVZBbV9heVhLcjQ/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QA/QA01/05_nestQA01_1_20180630_173826.avi,3438.120,25.0,Queen,broodmanipulate,,STATE,106.530,233.377,126.847,,
nest	QA01	20180706	3,2018-07-06 03:00:01,/Volumes/GoogleDrive/.shortcut-targets-by-id/0BxvAlFfkSNK7UVZBbV9heVhLcjQ/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QA/QA01/05_nestQA01_1_20180706_030138.avi,3600.760,25.0,Queen,feedsbrood,,POINT,107.141,107.141,NA,,
nest	QA01	20180705	20,2019-01-10 11:32:36,/Volumes/GoogleDrive/My Drive/2018.Awesome.Summer.Experiments/Videos/AllRounds/QA/QA01/05_nestQA01_1_20180705_200127.avi,3600.000,25.0,Queen,broodmanipulate,,STATE,118.960,240.280,121.320,,
nest	QA01	20180705	21,2018-07-05 21:00:29,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QA/QA01/05_nestQA01_1_20180705_210129.avi,3600.240,25.0,Queen,broodmanipulate,,STATE,125.102,131.780,6.678,,
nest	QA01	20180630	1,2018-06-30 01:00:41,/Volumes/GoogleDrive/.shortcut-targets-by-id/0BxvAlFfkSNK7UVZBbV9heVhLcjQ/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QA/QA01/05_nestQA01_1_20180630_013704.avi,3467.440,25.0,Queen,incubate,,STATE,127.240,300.479,173.239,,
nest	QA01	20180707	1,2018-07-07 01:00:47,/Volumes/GoogleDrive/.shortcut-targets-by-id/0BxvAlFfkSNK7UVZBbV9heVhLcjQ/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QA/QA01/05_nestQA01_1_20180707_010214.avi,3600.880,25.0,Queen,feedsbrood,,POINT,128.379,128.379,NA,,
nest	QA01	20180705	21,2018-07-05 21:00:29,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QA/QA01/05_nestQA01_1_20180705_210129.avi,3600.240,25.0,Queen,broodmanipulate,,STATE,135.900,149.328,13.428,,
nest	QA01	20180630	17,2018-06-30 17:00:01,/Volumes/GoogleDrive/.shortcut-targets-by-id/0BxvAlFfkSNK7UVZBbV9heVhLcjQ/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QA/QA01/05_nestQA01_1_20180630_173826.avi,3438.120,25.0,Queen,feedsbrood,,POINT,145.456,145.456,NA,,
nest	QA01	20180630	14,2018-06-30 14:00:27,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QA/QA01/05_nestQA01_1_20180630_143808.avi,3401.480,25.0,Queen,broodmanipulate,,STATE,177.976,305.676,127.700,,
nest	QA01	20180707	1,2018-07-07 01:00:47,/Volumes/GoogleDrive/.shortcut-targets-by-id/0BxvAlFfkSNK7UVZBbV9heVhLcjQ/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QA/QA01/05_nestQA01_1_20180707_010214.avi,3600.880,25.0,Queen,feedsbrood,,POINT,192.731,192.731,NA,,
nest	QA01	20180630	12,2018-06-30 12:00:56,/Volumes/GoogleDrive/.shortcut-targets-by-id/0BxvAlFfkSNK7UVZBbV9heVhLcjQ/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QA/QA01/05_nestQA01_1_20180630_123802.avi,3443.520,25.0,Queen,broodmanipulate,,STATE,216.920,225.547,8.627,,
nest	QA01	20180707	0,2018-07-07 00:00:33,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QA/QA01/05_nestQA01_1_20180707_000213.avi,3600.760,25.0,Queen,broodmanipulate,,STATE,221.077,259.453,38.376,,
nest	QA01	20180705	12,2018-07-05 12:00:04,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QA/QA01/05_nestQA01_1_20180705_120112.avi,3600.360,25.0,Queen,broodmanipulate,,STATE,227.954,230.126,2.172,,
nest	QA01	20180705	17,2018-07-05 17:00:09,/Volumes/GoogleDrive/.shortcut-targets-by-id/0BxvAlFfkSNK7UVZBbV9heVhLcjQ/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QA/QA01/05_nestQA01_1_20180705_170121.avi,3600.080,25.0,Queen,feedsbrood,,POINT,229.157,229.157,NA,,
nest	QA01	20180630	17,2018-06-30 17:00:01,/Volumes/GoogleDrive/.shortcut-targets-by-id/0BxvAlFfkSNK7UVZBbV9heVhLcjQ/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QA/QA01/05_nestQA01_1_20180630_173826.avi,3438.120,25.0,Queen,broodmanipulate,,STATE,236.478,300.600,64.122,,
nest	QA01	20180630	12,2018-06-30 12:00:56,/Volumes/GoogleDrive/.shortcut-targets-by-id/0BxvAlFfkSNK7UVZBbV9heVhLcjQ/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QA/QA01/05_nestQA01_1_20180630_123802.avi,3443.520,25.0,Queen,broodmanipulate,,STATE,238.298,254.252,15.954,,
nest	QA01	20180706	3,2018-07-06 03:00:01,/Volumes/GoogleDrive/.shortcut-targets-by-id/0BxvAlFfkSNK7UVZBbV9heVhLcjQ/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QA/QA01/05_nestQA01_1_20180706_030138.avi,3600.760,25.0,Queen,broodmanipulate,,STATE,242.180,300.525,58.345,,
