Observation id,Observation date,Media file,Total length,FPS,Subject,Behavior,Modifiers,Behavior type,Start (s),Stop (s),Duration (s),Comment start,Comment stop
nest	QA11	20181112	23,2018-11-12 23:00:08,/Volumes/GoogleDrive/My Drive/2018.Awesome.Summer.Experiments/Videos/AllRounds/QA/QA11/05_nestQA11_1_20181112_230821.avi,1538.880,25.0,Queen (97),incubate,,STATE,0.000,109.360,109.360,,
nest	QA11	20181118	2,2018-11-18 02:00:23,/Volumes/GoogleDrive/My Drive/2018.Awesome.Summer.Experiments/Videos/AllRounds/QA/QA11/05_nestQA11_1_20181118_022301.avi,947.480,25.0,Queen (97),broodmanipulate,,STATE,0.000,86.040,86.040,,
nest	QA11	20181119	3,2018-11-19 03:00:41,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QA/QA11/05_nestQA11_1_20181119_032902.avi,987.120,25.0,Queen (97),incubate,,STATE,0.000,3.599,3.599,,
nest	QA11	20181113	4,2018-11-13 04:00:57,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QA/QA11/05_nestQA11_1_20181113_040357.avi,1273.400,25.0,Queen (97),incubate,,STATE,0.015,13.729,13.714,,
nest	QA11	20181118	14,2018-11-18 14:00:17,/Volumes/GoogleDrive/My Drive/2018.Awesome.Summer.Experiments/Videos/AllRounds/QA/QA11/05_nestQA11_1_20181118_142552.avi,1055.440,25.0,Queen (97),incubate,,STATE,0.040,245.720,245.680,,
nest	QA11	20181114	4,2018-11-14 04:00:23,/Volumes/GoogleDrive/.shortcut-targets-by-id/0BxvAlFfkSNK7UVZBbV9heVhLcjQ/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QA/QA11/05_nestQA11_1_20181114_041211.avi,1144.240,25.0,Queen (97),broodmanipulate,,STATE,1.080,45.520,44.440,,
nest	QA11	20181118	19,2018-11-18 19:00:58,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QA/QA11/05_nestQA11_1_20181118_192717.avi,812.400,25.0,Queen (97),incubate,,STATE,1.528,27.103,25.575,,
nest	QA11	20181119	6,2018-11-19 06:00:01,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QA/QA11/05_nestQA11_1_20181119_062943.avi,996.680,25.0,Queen (97),incubate,,STATE,2.112,76.306,74.194,,
nest	QA11	20181114	9,2018-11-14 09:00:13,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QA/QA11/05_nestQA11_1_20181114_091348.avi,1205.000,25.0,Queen (97),broodmanipulate,,STATE,2.178,23.825,21.647,,
nest	QA11	20181114	2,2018-11-14 02:00:04,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QA/QA11/05_nestQA11_1_20181114_021141.avi,1176.960,25.0,Queen (97),broodmanipulate,,STATE,2.202,12.528,10.326,,
nest	QA11	20181118	13,2018-11-18 13:00:20,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QA/QA11/05_nestQA11_1_20181118_132542.avi,1097.680,25.0,Queen (97),broodmanipulate,,STATE,2.750,7.625,4.875,,
nest	QA11	20181119	3,2018-11-19 03:00:41,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QA/QA11/05_nestQA11_1_20181119_032902.avi,987.120,25.0,Queen (97),broodmanipulate,,STATE,3.600,89.049,85.449,,
nest	QA11	20181119	21,2018-11-19 21:00:54,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QA/QA11/05_nestQA11_1_20181119_210923.avi,1715.440,25.0,Queen (97),broodmanipulate,,STATE,3.776,82.206,78.430,,
nest	QA11	20181114	17,2018-11-14 17:00:37,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QA/QA11/05_nestQA11_1_20181114_175001.avi,1238.880,25.0,Queen (97),broodmanipulate,,STATE,4.350,7.725,3.375,,
nest	QA11	20181114	17,2018-11-14 17:00:37,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QA/QA11/05_nestQA11_1_20181114_175001.avi,1238.880,25.0,Queen (97),incubate,,STATE,7.726,91.806,84.080,,
for	QA11	20181114	0,2018-11-14 00:00:50,G:/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/AllRounds/QA/QA11/05_forQA11_1_20181114_001006.avi,1277.140,14.0,Queen (97),nectarforaging,,STATE,8.626,67.119,58.493,,
