Observation id,Observation date,Media file,Total length,FPS,Subject,Behavior,Modifiers,Behavior type,Start (s),Stop (s),Duration (s),Comment start,Comment stop
nest	QA04	20180704	15,2018-07-04 15:00:16,/Volumes/GoogleDrive/My Drive/2018.Awesome.Summer.Experiments/Videos/AllRounds/QA/QA04/05_nestQA04_1_20180704_150047.avi,3601.040,25.0,Queen (50),incubate,,STATE,0.040,90.160,90.120,,
nest	QA04	20180703	14,2018-07-03 14:00:35,/Volumes/GoogleDrive/My Drive/2018.Awesome.Summer.Experiments/Videos/AllRounds/QA/QA04/05_nestQA04_1_20180703_145942.avi,3601.480,25.0,Queen (50),incubate,,STATE,1.320,52.480,51.160,,
nest	QA04	20180704	20,2018-07-04 20:00:55,/Volumes/GoogleDrive/.shortcut-targets-by-id/0BxvAlFfkSNK7UVZBbV9heVhLcjQ/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QA/QA04/05_nestQA04_1_20180704_200057.avi,3594.400,25.0,Queen (50),incubate,,STATE,1.480,300.399,298.919,,
nest	QA04	20180705	7,2018-07-05 07:00:38,/Volumes/GoogleDrive/.shortcut-targets-by-id/0BxvAlFfkSNK7UVZBbV9heVhLcjQ/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QA/QA04/05_nestQA04_1_20180705_070116.avi,3599.800,25.0,Queen (50),incubate,,STATE,1.480,178.240,176.760,,
nest	QA04	20180704	22,2019-07-04 22:00:07,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QA/QA04/05_nestQA04_1_20180704_220101.avi,3586.200,25.0,Queen (50),incubate,,STATE,1.779,35.275,33.496,,
nest	QA04	20180704	0,2018-07-04 00:00:56,/Volumes/GoogleDrive/.shortcut-targets-by-id/0BxvAlFfkSNK7UVZBbV9heVhLcjQ/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QA/QA04/05_nestQA04_1_20180704_000011.avi,3603.000,25.0,Queen (50),broodmanipulate,,STATE,2.320,17.079,14.759,,
nest	QA04	20180704	19,2018-07-04 19:00:08,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QA/QA04/05_nestQA04_1_20180704_190056.avi,3600.280,25.0,Queen (50),broodmanipulate,,STATE,2.651,67.724,65.073,,
nest	QA04	20180703	18,2018-07-03 18:00:21,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QA/QA04/05_nestQA04_1_20180703_180000.avi,3610.400,25.0,Queen (50),incubate,,STATE,4.376,283.603,279.227,,
nest	QA04	20180704	0,2018-07-04 00:00:56,/Volumes/GoogleDrive/.shortcut-targets-by-id/0BxvAlFfkSNK7UVZBbV9heVhLcjQ/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QA/QA04/05_nestQA04_1_20180704_000011.avi,3603.000,25.0,Queen (50),incubate,,STATE,17.080,300.399,283.319,,
nest	QA04	20180704	22,2019-07-04 22:00:07,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QA/QA04/05_nestQA04_1_20180704_220101.avi,3586.200,25.0,Queen (50),broodmanipulate,,STATE,35.276,38.131,2.855,,
nest	QA04	20180704	22,2019-07-04 22:00:07,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QA/QA04/05_nestQA04_1_20180704_220101.avi,3586.200,25.0,Queen (50),broodmanipulate,,STATE,41.554,54.502,12.948,,
nest	QA04	20180703	14,2018-07-03 14:00:35,/Volumes/GoogleDrive/My Drive/2018.Awesome.Summer.Experiments/Videos/AllRounds/QA/QA04/05_nestQA04_1_20180703_145942.avi,3601.480,25.0,Queen (50),broodmanipulate,,STATE,52.760,70.560,17.800,,
nest	QA04	20180704	22,2019-07-04 22:00:07,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QA/QA04/05_nestQA04_1_20180704_220101.avi,3586.200,25.0,Queen (50),broodmanipulate,,STATE,57.879,70.302,12.423,,
nest	QA04	20180704	19,2018-07-04 19:00:08,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QA/QA04/05_nestQA04_1_20180704_190056.avi,3600.280,25.0,Queen (50),incubate,,STATE,67.725,250.775,183.050,,
nest	QA04	20180704	22,2019-07-04 22:00:07,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QA/QA04/05_nestQA04_1_20180704_220101.avi,3586.200,25.0,Queen (50),incubate,,STATE,70.303,378.782,308.479,,
nest	QA04	20180703	14,2018-07-03 14:00:35,/Volumes/GoogleDrive/My Drive/2018.Awesome.Summer.Experiments/Videos/AllRounds/QA/QA04/05_nestQA04_1_20180703_145942.avi,3601.480,25.0,Queen (50),incubate,,STATE,71.760,300.320,228.560,,
nest	QA04	20180704	15,2018-07-04 15:00:16,/Volumes/GoogleDrive/My Drive/2018.Awesome.Summer.Experiments/Videos/AllRounds/QA/QA04/05_nestQA04_1_20180704_150047.avi,3601.040,25.0,Queen (50),broodmanipulate,,STATE,91.680,108.200,16.520,,
nest	QA04	20180704	15,2018-07-04 15:00:16,/Volumes/GoogleDrive/My Drive/2018.Awesome.Summer.Experiments/Videos/AllRounds/QA/QA04/05_nestQA04_1_20180704_150047.avi,3601.040,25.0,Queen (50),incubate,,STATE,119.760,258.880,139.120,,
for	QA04	20180705	4,2018-07-05 04:00:55,/Volumes/GoogleDrive/My Drive/2018.Awesome.Summer.Experiments/Videos/AllRounds/QA/QA04/05_forQA04_1_20180705_040641.avi,3205.800,25.0,No focal subject,nectarforaging,,STATE,124.204,149.217,25.013,,
