Observation id,Observation date,Media file,Total length,FPS,Subject,Behavior,Modifiers,Behavior type,Start (s),Stop (s),Duration (s),Comment start,Comment stop
for	QF03	20180704	10,2018-07-04 10:00:43,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects/2018.Awesome.Summer.Experiments/Videos/AllRounds/QF/QF03/05_forQF03_1_20180704_100426.avi,3255.680,25.0,Unknown,pollenforaging,,STATE,0.000,1.400,1.400,,
for	QF03	20180706	8,2018-07-06 08:00:56,G:/My Drive/WoodardLab.shared/Projects/2018.Awesome.Summer.Experiments/Videos/AllRounds/QF/QF03/05_forQF03_1_20180706_082108.avi,3184.920,25.0,Unknown,nectarforaging,,STATE,0.000,251.156,251.156,,
nest	QF03	20180629	9,2018-06-29 09:00:39,/Volumes/GoogleDrive/My Drive/2018.Awesome.Summer.Experiments/Videos/AllRounds/QF/QF03/05_nestQF03_1_20180629_093831.avi,2949.000,25.0,Queen (59),incubate,,STATE,0.000,22.454,22.454,,
nest	QF03	20180628	1,2018-06-28 01:00:54,/Volumes/GoogleDrive/.shortcut-targets-by-id/0BxvAlFfkSNK7UVZBbV9heVhLcjQ/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QF/QF03/05_nestQF03_1_20180628_013551.avi,3078.800,25.0,Queen (59),incubate,,STATE,0.640,291.520,290.880,,
nest	QF03	20180629	6,2018-06-29 06:00:18,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QF/QF03/05_nestQF03_1_20180629_063820.avi,2850.840,25.0,Queen (59),broodmanipulate,,STATE,0.803,78.332,77.529,,
nest	QF03	20180628	4,2018-06-28 04:00:55,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QF/QF03/05_nestQF03_1_20180628_043607.avi,3032.960,25.0,Queen (59),broodmanipulate,,STATE,2.203,63.951,61.748,,
nest	QF03	20180628	6,2018-06-28 06:00:22,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QF/QF03/05_nestQF03_1_20180628_063615.avi,2920.960,25.0,Queen (59),incubate,,STATE,2.206,15.102,12.896,,
nest	QF03	20180706	12,2018-07-06 12:00:03,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QF/QF03/05_nestQF03_1_20180706_125726.avi,699.840,25.0,Queen (59),incubate,,STATE,2.530,27.527,24.997,,
nest	QF03	20180706	13,2018-07-06 13:00:28,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QF/QF03/05_nestQF03_1_20180706_135727.avi,741.120,25.0,Queen (59),incubate,,STATE,4.653,58.740,54.087,,
nest	QF03	20180628	12,2018-06-28 12:00:22,/Volumes/GoogleDrive/.shortcut-targets-by-id/0BxvAlFfkSNK7UVZBbV9heVhLcjQ/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QF/QF03/05_nestQF03_1_20180628_123707.avi,2796.920,25.0,Queen (59),incubate,,STATE,5.640,48.600,42.960,,
