Observation id,Observation date,Media file,Total length,FPS,Subject,Behavior,Modifiers,Behavior type,Start (s),Stop (s),Duration (s),Comment start,Comment stop
nest	QT14	20181116	23,2018-11-16 23:00:37,/Volumes/GoogleDrive/My Drive/2018.Awesome.Summer.Experiments/Videos/AllRounds/QT/QT14/05_nestQT14_1_20181116_233519.avi,68.410,22.0,Queen (97),incubate,,STATE,53.455,67.591,14.136,,
nest	QT14	20181111	4,2018-11-11 04:00:33,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QT/QT14/05_nestQT14_1_20181111_042601.avi,61.640,22.0,Queen (97),broodmanipulate,,STATE,54.035,61.229,7.194,,
nest	QT14	20181117	6,2018-11-17 06:00:52,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QT/QT14/05_nestQT14_1_20181117_064828.avi,67.050,22.0,Queen (97),broodmanipulate,,STATE,57.956,66.215,8.259,,
nest	QT14	20181111	4,2018-11-11 04:00:33,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QT/QT14/05_nestQT14_1_20181111_042601.avi,61.640,22.0,Queen (97),end,,POINT,61.230,61.230,NA,,
nest	QT14	20181118	3,2018-11-18 03:00:36,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QT/QT14/05_nestQT14_1_20181118_031620.avi,80.140,22.0,Worker 3 (42),feedsbrood,,POINT,63.572,63.572,NA,,
nest	QT14	20181110	11,2018-11-10 11:00:05,/Volumes/GoogleDrive/My Drive/2018.Awesome.Summer.Experiments/Videos/AllRounds/QT/QT14/05_nestQT14_1_20181110_110159.avi,63.730,22.0,Queen (97),end,,POINT,63.727,63.727,NA,,
nest	QT14	20181117	6,2018-11-17 06:00:52,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QT/QT14/05_nestQT14_1_20181117_064828.avi,67.050,22.0,Queen (97),end,,POINT,66.216,66.216,NA,,
nest	QT14	20181116	23,2018-11-16 23:00:37,/Volumes/GoogleDrive/My Drive/2018.Awesome.Summer.Experiments/Videos/AllRounds/QT/QT14/05_nestQT14_1_20181116_233519.avi,68.410,22.0,Queen (97),end,,POINT,68.409,68.409,NA,,
nest	QT14	20181118	10,2018-11-18 10:00:14,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QT/QT14/05_nestQT14_1_20181118_103401.avi,69.500,22.0,Queen (97),broodmanipulate,,STATE,68.856,68.857,0.001,,
nest	QT14	20181118	10,2018-11-18 10:00:14,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QT/QT14/05_nestQT14_1_20181118_103401.avi,69.500,22.0,Queen (97),end,,POINT,68.857,68.857,NA,,
nest	QT14	20181118	1,2018-11-18 01:00:23,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QT/QT14/05_nestQT14_1_20181118_015721.avi,86.820,22.0,Worker 3 (42),feedsbrood,,POINT,70.855,70.855,NA,,
nest	QT14	20181112	21,2018-11-12 21:00:17,/Volumes/GoogleDrive/My Drive/2018.Awesome.Summer.Experiments/Videos/AllRounds/QT/QT14/05_nestQT14_1_20181112_214807.avi,73.360,22.0,Queen (97),end,,POINT,73.318,73.318,NA,,
