Observation id,Observation date,Media file,Total length,FPS,Subject,Behavior,Modifiers,Behavior type,Start (s),Stop (s),Duration (s),Comment start,Comment stop
nest	QF09	20180810	23,2018-08-10 23:00:37,/Volumes/GoogleDrive/My Drive/2018.Awesome.Summer.Experiments/Videos/AllRounds/QF/QF09/05_nestQF09_1_20180810_233124.avi,3600.800,25.0,Queen (90),broodmanipulate,,STATE,0.000,98.976,98.976,,
nest	QF09	20180811	9,2018-08-11 09:00:55,/Volumes/GoogleDrive/My Drive/2018.Awesome.Summer.Experiments/Videos/AllRounds/QF/QF09/05_nestQF09_1_20180811_092508.avi,3600.600,25.0,Queen (90),broodmanipulate,,STATE,0.000,171.677,171.677,,
nest	QF09	20180818	21,2018-08-18 21:00:14,/Volumes/GoogleDrive/My Drive/2018.Awesome.Summer.Experiments/Videos/AllRounds/QF/QF09/05_nestQF09_1_20180818_211051.avi,2905.760,25.0,Queen (90),incubate,,STATE,0.000,95.850,95.850,,
nest	QF09	20180816	1,2018-08-16 01:00:22,/Volumes/GoogleDrive/My Drive/2018.Awesome.Summer.Experiments/Videos/AllRounds/QF/QF09/05_nestQF09_1_20180816_013529.avi,3562.680,25.0,Queen (90),incubate,,STATE,0.040,300.199,300.159,,
nest	QF09	20180816	15,2018-08-16 15:00:08,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QF/QF09/05_nestQF09_1_20180816_153614.avi,2952.480,25.0,Queen (90),incubate,,STATE,0.553,166.782,166.229,,
nest	QF09	20180811	19,2018-08-11 19:00:37,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QF/QF09/05_nestQF09_1_20180811_192612.avi,2578.360,25.0,Queen (90),incubate,,STATE,0.603,97.606,97.003,,
nest	QF09	20180810	3,2018-08-10 03:00:59,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QF/QF09/05_nestQF09_1_20180810_033030.avi,3602.120,25.0,Queen (90),offbrood,,STATE,0.805,299.928,299.123,,
nest	QF09	20180810	3,2018-08-10 03:00:59,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QF/QF09/05_nestQF09_1_20180810_033030.avi,3602.120,25.0,Worker 1 (41),waxmanipulate,,STATE,0.805,299.928,299.123,,
nest	QF09	20180810	3,2018-08-10 03:00:59,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QF/QF09/05_nestQF09_1_20180810_033030.avi,3602.120,25.0,Worker 3 (17),broodmanipulate,,STATE,0.805,262.251,261.446,,
nest	QF09	20180810	3,2018-08-10 03:00:59,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QF/QF09/05_nestQF09_1_20180810_033030.avi,3602.120,25.0,Worker 4 (51),offbrood,,STATE,0.805,43.228,42.423,,
nest	QF09	20180810	3,2018-08-10 03:00:59,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QF/QF09/05_nestQF09_1_20180810_033030.avi,3602.120,25.0,Worker 5 (31),offbrood,,STATE,0.805,69.875,69.070,,
nest	QF09	20180810	3,2018-08-10 03:00:59,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QF/QF09/05_nestQF09_1_20180810_033030.avi,3602.120,25.0,Worker 6 (11),broodmanipulate,,STATE,0.805,299.928,299.123,,
nest	QF09	20180811	5,2018-08-11 05:00:10,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QF/QF09/05_nestQF09_1_20180811_052502.avi,3597.000,25.0,Queen (90),broodmanipulate,,STATE,4.077,8.178,4.101,,
