Observation id,Observation date,Media file,Total length,FPS,Subject,Behavior,Modifiers,Behavior type,Start (s),Stop (s),Duration (s),Comment start,Comment stop
nest	QA12	20181119	3,2019-03-04 10:40:50,/Volumes/GoogleDrive/My Drive/2018.Awesome.Summer.Experiments/Videos/AllRounds/QA/QA12/05_nestQA12_1_20181119_033929.avi,62.760,25.0,Queen (91),incubate,,STATE,0.000,27.130,27.130,,
nest	QA12	20181120	6,2018-11-20 06:00:35,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QA/QA12/05_nestQA12_1_20181120_062332.avi,52.680,25.0,Queen (91),incubate,,STATE,0.000,27.327,27.327,,
nest	QA12	20181114	7,2018-11-14 07:00:46,/Volumes/GoogleDrive/My Drive/2018.Awesome.Summer.Experiments/Videos/AllRounds/QA/QA12/05_nestQA12_1_20181114_072011.avi,63.840,25.0,Queen (91),incubate,,STATE,0.040,24.280,24.240,,
nest	QA12	20181113	13,2018-11-13 13:00:45,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QA/QA12/05_nestQA12_1_20181113_130937.avi,57.960,25.0,Queen (91),incubate,,STATE,1.075,24.735,23.660,,
nest	QA12	20181119	6,2018-11-19 06:00:12,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QA/QA12/05_nestQA12_1_20181119_064549.avi,71.880,25.0,Queen (91),incubate,,STATE,1.075,66.220,65.145,,
nest	QA12	20181121	23,2018-11-21 23:00:16,/Volumes/GoogleDrive/.shortcut-targets-by-id/0BxvAlFfkSNK7UVZBbV9heVhLcjQ/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QA/QA12/05_nestQA12_1_20181121_233346.avi,1752.160,25.0,Queen (91),incubate,,STATE,1.280,27.720,26.440,,
nest	QA12	20181120	16,2018-11-20 16:00:39,/Volumes/GoogleDrive/.shortcut-targets-by-id/0BxvAlFfkSNK7UVZBbV9heVhLcjQ/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QA/QA12/05_nestQA12_1_20181120_165746.avi,75.360,25.0,Queen (91),incubate,,STATE,1.325,6.651,5.326,,
nest	QA12	20181120	14,2018-11-20 14:00:41,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QA/QA12/05_nestQA12_1_20181120_145030.avi,71.520,25.0,Queen (91),incubate,,STATE,1.653,12.478,10.825,,
nest	QA12	20181121	18,2018-11-21 18:00:23,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QA/QA12/05_nestQA12_1_20181121_183305.avi,1663.280,25.0,Queen (91),broodmanipulate,,STATE,3.081,41.226,38.145,,
nest	QA12	20181119	1,2018-11-19 01:00:24,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QA/QA12/05_nestQA12_1_20181119_013355.avi,69.600,25.0,Queen (91),incubate,,STATE,4.050,48.867,44.817,,
