Observation id,Observation date,Media file,Total length,FPS,Subject,Behavior,Modifiers,Behavior type,Start (s),Stop (s),Duration (s),Comment start,Comment stop
for	QF11	20181113	3		,2018-11-13 03:00:51,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects/2018.Awesome.Summer.Experiments/Videos/AllRounds/QF/QF11/05_forQF11_1_20181113_030500.avi,960.440,25.0,Worker 5 (65),nectarforaging,,STATE,533.406,627.322,93.916,,
for	QF11	20181113	6,2018-11-13 06:00:49,/Volumes/GoogleDrive/My Drive/Videos/AllRounds/QF/QF11/05_forQF11_1_20181113_060646.avi,913.360,25.0,Worker 5 (65),pollenforaging,,STATE,551.485,640.220,88.735,,
for	QF11	20181113	3		,2018-11-13 03:00:51,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects/2018.Awesome.Summer.Experiments/Videos/AllRounds/QF/QF11/05_forQF11_1_20181113_030500.avi,960.440,25.0,Worker 5 (65),pollenforaging,,STATE,551.929,570.780,18.851,,
for	QF11	20181118	14,2018-11-18 14:00:39,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects/2018.Awesome.Summer.Experiments/Videos/AllRounds/QF/QF11/05_forQF11_1_20181118_143637.avi,1020.200,25.0,Worker 5 (65),nectarforaging,,STATE,566.717,625.720,59.003,,
for	QF11	20181113	3		,2018-11-13 03:00:51,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects/2018.Awesome.Summer.Experiments/Videos/AllRounds/QF/QF11/05_forQF11_1_20181113_030500.avi,960.440,25.0,Worker 5 (65),pollenforaging,,STATE,576.179,612.520,36.341,,
for	QF11	20181113	3		,2018-11-13 03:00:51,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects/2018.Awesome.Summer.Experiments/Videos/AllRounds/QF/QF11/05_forQF11_1_20181113_030500.avi,960.440,25.0,Worker 2 (17),nectarforaging,,STATE,612.600,650.797,38.197,,
for	QF11	20181118	14,2018-11-18 14:00:39,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects/2018.Awesome.Summer.Experiments/Videos/AllRounds/QF/QF11/05_forQF11_1_20181118_143637.avi,1020.200,25.0,Worker 5 (65),nectarforaging,,STATE,656.187,720.221,64.034,,
for	QF11	20181113	6,2018-11-13 06:00:49,/Volumes/GoogleDrive/My Drive/Videos/AllRounds/QF/QF11/05_forQF11_1_20181113_060646.avi,913.360,25.0,Worker 5 (65),nectarforaging,,STATE,666.658,669.035,2.377,,
for	QF11	20181118	9,2018-11-18 09:00:45,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects/2018.Awesome.Summer.Experiments/Videos/AllRounds/QF/QF11/05_forQF11_1_20181118_093517.avi,884.120,25.0,Worker 2 (17),nectarforaging,,STATE,668.212,689.604,21.392,,
for	QF11	20181113	3		,2018-11-13 03:00:51,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects/2018.Awesome.Summer.Experiments/Videos/AllRounds/QF/QF11/05_forQF11_1_20181113_030500.avi,960.440,25.0,Worker 5 (65),nectarforaging,,STATE,672.947,737.906,64.959,,
for	QF11	20181113	3		,2018-11-13 03:00:51,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects/2018.Awesome.Summer.Experiments/Videos/AllRounds/QF/QF11/05_forQF11_1_20181113_030500.avi,960.440,25.0,Worker 2 (17),nectarforaging,,STATE,680.981,723.181,42.200,,
for	QF11	20181113	6,2018-11-13 06:00:49,/Volumes/GoogleDrive/My Drive/Videos/AllRounds/QF/QF11/05_forQF11_1_20181113_060646.avi,913.360,25.0,Worker 5 (65),nectarforaging,,STATE,690.769,723.268,32.499,,
for	QF11	20181114	8,2018-11-14 08:00:53,G:/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/AllRounds/QF/QF11/05_forQF11_1_20181114_081520.avi,1054.040,25.0,Worker 5 (65),nectarforaging,,STATE,725.736,741.969,16.233,,
for	QF11	20181118	15,2018-11-18 15:00:02,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/AllRounds/QF/QF11/05_forQF11_1_20181118_153652.avi,945.920,25.0,Worker 3 (42),nectarforaging,,STATE,749.404,759.051,9.647,,
for	QF11	20181113	6,2018-11-13 06:00:49,/Volumes/GoogleDrive/My Drive/Videos/AllRounds/QF/QF11/05_forQF11_1_20181113_060646.avi,913.360,25.0,Worker 5 (65),pollenforaging,,STATE,754.249,781.048,26.799,,
