Observation id,Observation date,Media file,Total length,FPS,Subject,Behavior,Modifiers,Behavior type,Start (s),Stop (s),Duration (s),Comment start,Comment stop
nest	QA10	20180821	2,2018-08-21 02:00:05,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QA/QA10/05_nestQA10_1_20180821_020133.avi,3205.120,25.0,Queen,broodmanipulate,,STATE,0.000,12.903,12.903,,
nest	QA10	20180827	0,2018-08-27 00:00:41,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QA/QA10/05_nestQA10_1_20180827_004556.avi,1999.760,25.0,Queen,broodmanipulate,,STATE,0.000,10.652,10.652,,
nest	QA10	20180827	21,2018-08-27 21:00:06,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QA/QA10/05_nestQA10_1_20180827_215740.avi,3603.760,25.0,Queen,incubate,,STATE,0.000,263.777,263.777,,
nest	QA10	20180828	19,2018-08-28 19:00:53,/Volumes/GoogleDrive/My Drive/2018.Awesome.Summer.Experiments/Videos/AllRounds/QA/QA10/05_nestQA10_1_20180828_195411.avi,3574.040,25.0,Queen,broodmanipulate,,STATE,0.000,61.452,61.452,,
nest	QA10	20180828	8,2018-08-28 08:00:28,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QA/QA10/05_nestQA10_1_20180828_085156.avi,3273.920,25.0,Queen,incubate,,STATE,0.015,29.377,29.362,,
nest	QA10	20180822	9,2018-08-22 09:00:02,/Volumes/GoogleDrive/.shortcut-targets-by-id/0BxvAlFfkSNK7UVZBbV9heVhLcjQ/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QA/QA10/05_nestQA10_1_20180822_092829.avi,3599.760,25.0,Queen,incubate,,STATE,0.040,136.400,136.360,,
nest	QA10	20180820	2,2018-08-20 02:00:41,/Volumes/GoogleDrive/.shortcut-targets-by-id/0BxvAlFfkSNK7UVZBbV9heVhLcjQ/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QA/QA10/05_nestQA10_1_20180820_020917.avi,843.480,25.0,Queen,broodmanipulate,,STATE,0.480,61.320,60.840,,
nest	QA10	20180827	13,2018-08-27 13:00:09,/Volumes/GoogleDrive/.shortcut-targets-by-id/0BxvAlFfkSNK7UVZBbV9heVhLcjQ/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QA/QA10/05_nestQA10_1_20180827_134828.avi,1816.920,25.0,Queen,incubate,,STATE,0.520,24.759,24.239,,
nest	QA10	20180820	1,2018-08-20 01:00:53,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QA/QA10/05_nestQA10_1_20180820_010846.avi,1480.600,25.0,No focal subject,incubate,,STATE,0.530,97.315,96.785,,
nest	QA10	20180822	0,2018-08-22 00:00:47,/Volumes/GoogleDrive/.shortcut-targets-by-id/0BxvAlFfkSNK7UVZBbV9heVhLcjQ/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QA/QA10/05_nestQA10_1_20180822_002808.avi,3601.760,25.0,Queen,incubate,,STATE,0.600,11.280,10.680,,
