Observation id,Observation date,Media file,Total length,FPS,Subject,Behavior,Modifiers,Behavior type,Start (s),Stop (s),Duration (s),Comment start,Comment stop
nest	QT13	20181109	0,2018-11-09 00:00:45,/Volumes/GoogleDrive/.shortcut-targets-by-id/0BxvAlFfkSNK7UVZBbV9heVhLcjQ/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QT/QT13/05_nestQT13_1_20181109_002200.avi,1807.440,25.0,Queen (45),incubate,,STATE,0.680,90.879,90.199,,
nest	QT13	20181109	13,2018-11-09 13:00:55,/Volumes/GoogleDrive/.shortcut-targets-by-id/0BxvAlFfkSNK7UVZBbV9heVhLcjQ/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QT/QT13/05_nestQT13_1_20181109_130726.avi,796.800,25.0,Queen (45),incubate,,STATE,0.805,31.255,30.450,,
nest	QT13	20181109	0,2018-11-09 00:00:45,/Volumes/GoogleDrive/.shortcut-targets-by-id/0BxvAlFfkSNK7UVZBbV9heVhLcjQ/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QT/QT13/05_nestQT13_1_20181109_002200.avi,1807.440,25.0,Worker 1 (3),feedsbrood,,POINT,12.855,12.855,NA,,
nest	QT13	20181108	22,2020-01-09 16:15:57,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QT/QT13/05_nestQT13_1_20181108_222124.avi,1761.560,25.0,Queen (45),broodmanipulate,,STATE,21.828,24.425,2.597,,
nest	QT13	20181109	9,2018-11-09 09:00:01,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QT/QT13/05_nestQT13_1_20181109_092339.avi,1122.520,25.0,Queen (45),broodmanipulate,,STATE,34.805,36.426,1.621,,
nest	QT13	20181110	21,2018-11-10 21:00:38,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QT/QT13/05_nestQT13_1_20181110_214236.avi,1196.960,25.0,Queen (45),broodmanipulate,,STATE,38.103,40.675,2.572,,
nest	QT13	20181109	9,2018-11-09 09:00:01,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QT/QT13/05_nestQT13_1_20181109_092339.avi,1122.520,25.0,Queen (45),broodmanipulate,,STATE,47.726,49.376,1.650,,
nest	QT13	20181110	19,2018-11-10 19:00:36,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/AllRounds/QT/QT13/05_nestQT13_1_20181110_194157.avi,1093.240,25.0,Worker 2 (47),feedsbrood,,POINT,52.877,52.877,NA,,
nest	QT13	20181109	9,2018-11-09 09:00:01,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QT/QT13/05_nestQT13_1_20181109_092339.avi,1122.520,25.0,Queen (45),broodmanipulate,,STATE,59.704,62.427,2.723,,
nest	QT13	20181109	13,2018-11-09 13:00:55,/Volumes/GoogleDrive/.shortcut-targets-by-id/0BxvAlFfkSNK7UVZBbV9heVhLcjQ/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QT/QT13/05_nestQT13_1_20181109_130726.avi,796.800,25.0,Queen (45),incubate,,STATE,68.801,122.102,53.301,,
