Observation id,Observation date,Media file,Total length,FPS,Subject,Behavior,Modifiers,Behavior type,Start (s),Stop (s),Duration (s),Comment start,Comment stop
nest	QF07	20180814	3,2018-08-14 03:00:00,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/Rounds1_2/QF/QF07/05_nestQF07_1_20180814_030141.avi,1023.120,25.0,Queen (57),offbrood,,STATE,0.276,128.174,127.898,,
nest	QF07	20180814	3,2018-08-14 03:00:00,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/Rounds1_2/QF/QF07/05_nestQF07_1_20180814_030141.avi,1023.120,25.0,Worker 1 (23),broodmanipulate,,STATE,0.276,228.665,228.389,,
nest	QF07	20180814	3,2018-08-14 03:00:00,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/Rounds1_2/QF/QF07/05_nestQF07_1_20180814_030141.avi,1023.120,25.0,Worker 3 (36),offbrood,,STATE,0.276,299.440,299.164,,
nest	QF07	20180813	8,2018-08-13 08:00:49,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QF/QF07/05_nestQF07_1_20180813_083042.avi,1661.560,25.0,Queen (57),offbrood,,STATE,0.555,45.177,44.622,,
nest	QF07	20180813	8,2018-08-13 08:00:49,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QF/QF07/05_nestQF07_1_20180813_083042.avi,1661.560,25.0,Worker 4 (18),broodmanipulate,,STATE,0.555,45.002,44.447,,
nest	QF07	20180813	8,2018-08-13 08:00:49,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QF/QF07/05_nestQF07_1_20180813_083042.avi,1661.560,25.0,Worker 5 (60),broodmanipulate,,STATE,0.555,8.824,8.269,,
nest	QF07	20180813	8,2018-08-13 08:00:49,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QF/QF07/05_nestQF07_1_20180813_083042.avi,1661.560,25.0,Worker 6 (72),broodmanipulate,,STATE,0.555,186.696,186.141,,
nest	QF07	20180819	20,2018-08-19 20:00:19,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QF/QF07/05_nestQF07_1_20180819_201351.avi,2018.160,25.0,Queen (57),broodmanipulate,,STATE,0.800,34.052,33.252,,
nest	QF07	20180813	16,2018-08-13 16:00:15,/Volumes/GoogleDrive/.shortcut-targets-by-id/0BxvAlFfkSNK7UVZBbV9heVhLcjQ/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QF/QF07/05_nestQF07_1_20180813_161738.avi,1511.560,25.0,Queen (57),incubate,,STATE,1.000,130.000,129.000,,
nest	QF07	20180819	1,2018-08-19 01:00:05,/Volumes/GoogleDrive/.shortcut-targets-by-id/0BxvAlFfkSNK7UVZBbV9heVhLcjQ/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QF/QF07/05_nestQF07_1_20180819_011112.avi,2264.200,25.0,Queen (57),broodmanipulate,,STATE,1.200,62.360,61.160,,
