,,Queen,Queen,Queen,Queen,Queen,Queen,Queen,Queen,Queen,Queen,Queen,Queen,Queen,Queen,Queen,Queen,Queen,Queen,Queen,Queen,Queen,Queen,Queen,Queen,Queen,Queen,Queen,Queen,Queen,Queen
,,broodmanipulate,broodmanipulate,broodmanipulate,broodmanipulate,broodmanipulate,end,end,end,end,end,feedsbrood,feedsbrood,feedsbrood,feedsbrood,feedsbrood,incubate,incubate,incubate,incubate,incubate,nectarforaging,nectarforaging,nectarforaging,nectarforaging,nectarforaging,pollenforaging,pollenforaging,pollenforaging,pollenforaging,pollenforaging
,Total length (s),Total duration,Number of occurrences,Duration mean,Duration std dev,Proportion of time,Total duration,Number of occurrences,Duration mean,Duration std dev,Proportion of time,Total duration,Number of occurrences,Duration mean,Duration std dev,Proportion of time,Total duration,Number of occurrences,Duration mean,Duration std dev,Proportion of time,Total duration,Number of occurrences,Duration mean,Duration std dev,Proportion of time,Total duration,Number of occurrences,Duration mean,Duration std dev,Proportion of time
QA03	20180704	15,3600.400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QA03	20180704	19,3566.160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QA03	20180710	18,3106.920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QA03	for	20180705	9,3600.240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
for	QA03	20180704	20,3551.760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
for	QA03	20180705	15,3602.520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148.177,6,24.696,20.300,0.041,30.001,2,15.000,15.981,0.008
for	QA03	20180705	16,3601.480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
for	QA03	20180705	17,3600.600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
for	QA03	20180705	4,3600.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
for	QA03	20180705	8,3599.400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
for	QA03	20180710	13,3246.800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
for	QA03	20180710	19,3073.400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,445.948,1,445.948,0,0.145,0,0,0,0,0
for	QA03	20180710	21,2892.560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
for	QA03	20180711	0,2832.440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
for	QA03	20180711	12,2977.160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
for	QA03	20180711	13,2504.440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
for	QA03	20180711	21,2448.640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
for    QA03    20180711    0,2832.440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nest	QA03	20180704	15,3600.840,61.000,2,30.500,2.800,0.017,0.000,1,0.000,0,0.000,0,0,0,0,0,224.719,1,224.719,0,0.062,0,0,0,0,0,0,0,0,0,0
nest	QA03	20180704	19,3601.080,72.601,1,72.601,0,0.020,0.000,1,0.000,0,0.000,0,0,0,0,0,226.131,1,226.131,0,0.063,0,0,0,0,0,0,0,0,0,0
nest	QA03	20180704	20,3598.960,0,0,0,0,0,0.000,1,0.000,0,0.000,0,0,0,0,0,300.039,1,300.039,0,0.083,0,0,0,0,0,0,0,0,0,0
nest	QA03	20180705	16,3600.880,0,0,0,0,0,0.000,2,0.000,0.000,0.000,0,0,0,0,0,269.839,2,134.919,84.571,0.075,0,0,0,0,0,0,0,0,0,0
nest	QA03	20180705	17,3600.560,0,0,0,0,0,0.000,1,0.000,0,0.000,0,0,0,0,0,307.729,1,307.729,0,0.085,0,0,0,0,0,0,0,0,0,0
nest	QA03	20180705	4,3599.520,258.440,1,258.440,0,0.072,0.000,1,0.000,0,0.000,0.000,1,0.000,0,0.000,39.080,1,39.080,0,0.011,0,0,0,0,0,0,0,0,0,0
nest	QA03	20180705	6,3600.920,70.763,6,11.794,16.659,0.020,0.000,1,0.000,0,0.000,0,0,0,0,0,99.926,1,99.926,0,0.028,0,0,0,0,0,0,0,0,0,0
nest	QA03	20180705	8,3598.600,293.479,2,146.739,157.063,0.082,0.000,1,0.000,0,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nest	QA03	20180705	9,3600.720,109.129,2,54.564,52.062,0.030,0.000,1,0.000,0,0.000,0.000,1,0.000,0,0.000,151.655,2,75.828,55.050,0.042,0,0,0,0,0,0,0,0,0,0
nest	QA03	20180710	13,3253.520,0,0,0,0,0,0.000,1,0.000,0,0.000,0,0,0,0,0,1789.876,1,1789.876,0,0.550,0,0,0,0,0,0,0,0,0,0
nest	QA03	20180710	18,3115.760,151.530,3,50.510,54.697,0.049,0.000,1,0.000,0,0.000,0.000,1,0.000,0,0.000,51.749,1,51.749,0,0.017,0,0,0,0,0,0,0,0,0,0
