,,No focal subject,No focal subject,No focal subject,No focal subject,No focal subject,No focal subject,No focal subject,No focal subject,No focal subject,No focal subject,No focal subject,No focal subject,No focal subject,No focal subject,No focal subject,No focal subject,No focal subject,No focal subject,No focal subject,No focal subject,No focal subject,No focal subject,No focal subject,No focal subject,No focal subject,No focal subject,No focal subject,No focal subject,No focal subject,No focal subject,Queen,Queen,Queen,Queen,Queen,Queen,Queen,Queen,Queen,Queen,Queen,Queen,Queen,Queen,Queen,Queen,Queen,Queen,Queen,Queen,Queen,Queen,Queen,Queen,Queen,Queen,Queen,Queen,Queen,Queen
for	QA10	20180826	22,2010.320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.925,1,20.925,0,0.010,0,0,0,0,0
for	QA10	20180827	0,1997.320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.370,2,29.185,8.150,0.029,0,0,0,0,0
for	QA10	20180827	13,1851.480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
for	QA10	20180827	21,3604.560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
for	QA10	20180827	3,1688.600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
for	QA10	20180828	19,3571.240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
for	QA10	20180828	8,3248.800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nest	QA01	20180705	10,3592.880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nest	QA10	20180820	1,1480.600,72.158,3,24.053,16.047,0.049,0.000,1,0.000,0,0.000,0,0,0,0,0,219.063,3,73.021,20.966,0.148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nest	QA10	20180820	2,843.480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101.277,4,25.319,24.551,0.120,0.000,1,0.000,0,0.000,0,0,0,0,0,190.120,2,95.060,47.037,0.225,0,0,0,0,0,0,0,0,0,0
nest	QA10	20180821	2,3205.120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.628,3,12.543,2.725,0.012,0,0,0,0,0,0,0,0,0,0,157.909,1,157.909,0,0.049,0,0,0,0,0,0,0,0,0,0
nest	QA10	20180822	0,3601.760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151.038,3,50.346,29.943,0.042,0.000,1,0.000,0,0.000,0,0,0,0,0,133.879,3,44.626,49.577,0.037,0,0,0,0,0,0,0,0,0,0
nest	QA10	20180822	10,3049.640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169.900,1,169.900,0,0.056,0,0,0,0,0,0.000,2,0.000,0.000,0.000,138.101,1,138.101,0,0.045,0,0,0,0,0,0,0,0,0,0
nest	QA10	20180822	19,2462.720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169.278,3,56.426,80.395,0.069,0.000,1,0.000,0,0.000,0.000,1,0.000,0,0.000,107.145,2,53.573,26.089,0.044,0,0,0,0,0,0,0,0,0,0
nest	QA10	20180822	3,3600.280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163.229,2,81.615,87.164,0.045,0.000,1,0.000,0,0.000,0.000,2,0.000,0.000,0.000,139.176,1,139.176,0,0.039,0,0,0,0,0,0,0,0,0,0
nest	QA10	20180822	6,3603.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90.150,4,22.538,33.343,0.025,0,0,0,0,0,0.000,1,0.000,0,0.000,157.831,2,78.916,4.052,0.044,0,0,0,0,0,0,0,0,0,0
nest	QA10	20180822	9,3599.760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133.599,1,133.599,0,0.037,0.000,1,0.000,0,0.000,0.000,1,0.000,0,0.000,167.119,2,83.559,74.671,0.046,0,0,0,0,0,0,0,0,0,0
nest	QA10	20180826	22,1963.360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,231.318,4,57.830,53.128,0.118,0.000,1,0.000,0,0.000,0.000,1,0.000,0,0.000,39.480,2,19.740,17.961,0.020,0,0,0,0,0,0,0,0,0,0
nest	QA10	20180827	0,1999.760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.963,4,19.241,14.845,0.038,0,0,0,0,0,0,0,0,0,0,95.224,2,47.612,33.996,0.048,0,0,0,0,0,0,0,0,0,0
nest	QA10	20180827	13,1816.920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90.760,5,18.152,13.655,0.050,0.000,1,0.000,0,0.000,0,0,0,0,0,36.558,2,18.279,8.429,0.020,0,0,0,0,0,0,0,0,0,0
nest	QA10	20180827	21,3603.760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.551,1,38.551,0,0.011,0.000,1,0.000,0,0.000,0,0,0,0,0,263.777,1,263.777,0,0.073,0,0,0,0,0,0,0,0,0,0
nest	QA10	20180827	3,1716.640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138.126,2,69.063,93.922,0.080,0.000,1,0.000,0,0.000,0.000,4,0.000,0.000,0.000,153.068,2,76.534,94.345,0.089,0,0,0,0,0,0,0,0,0,0
nest	QA10	20180827	9,1782.440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171.303,3,57.101,35.210,0.096,0.000,2,0.000,0.000,0.000,0,0,0,0,0,98.128,3,32.709,17.747,0.055,0,0,0,0,0,0,0,0,0,0
nest	QA10	20180828	19,3574.040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171.482,2,85.741,34.350,0.048,0.000,1,0.000,0,0.000,0,0,0,0,0,125.551,2,62.776,23.866,0.035,0,0,0,0,0,0,0,0,0,0
nest	QA10	20180828	8,3273.920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.128,2,50.064,28.477,0.031,0,0,0,0,0,0,0,0,0,0,176.727,2,88.364,83.441,0.054,0,0,0,0,0,0,0,0,0,0
