,,No focal subject,No focal subject,No focal subject,No focal subject,No focal subject,No focal subject,No focal subject,No focal subject,No focal subject,No focal subject,No focal subject,No focal subject,No focal subject,No focal subject,No focal subject,No focal subject,No focal subject,No focal subject,No focal subject,No focal subject,No focal subject,No focal subject,No focal subject,No focal subject,No focal subject,No focal subject,No focal subject,No focal subject,No focal subject,No focal subject,Queen (97),Queen (97),Queen (97),Queen (97),Queen (97),Queen (97),Queen (97),Queen (97),Queen (97),Queen (97),Queen (97),Queen (97),Queen (97),Queen (97),Queen (97),Queen (97),Queen (97),Queen (97),Queen (97),Queen (97),Queen (97),Queen (97),Queen (97),Queen (97),Queen (97),Queen (97),Queen (97),Queen (97),Queen (97),Queen (97)
,,broodmanipulate,broodmanipulate,broodmanipulate,broodmanipulate,broodmanipulate,end,end,end,end,end,fillshoneypot,fillshoneypot,fillshoneypot,fillshoneypot,fillshoneypot,incubate,incubate,incubate,incubate,incubate,nectarforaging,nectarforaging,nectarforaging,nectarforaging,nectarforaging,pollenforaging,pollenforaging,pollenforaging,pollenforaging,pollenforaging,broodmanipulate,broodmanipulate,broodmanipulate,broodmanipulate,broodmanipulate,end,end,end,end,end,fillshoneypot,fillshoneypot,fillshoneypot,fillshoneypot,fillshoneypot,incubate,incubate,incubate,incubate,incubate,nectarforaging,nectarforaging,nectarforaging,nectarforaging,nectarforaging,pollenforaging,pollenforaging,pollenforaging,pollenforaging,pollenforaging
,Total length (s),Total duration,Number of occurrences,Duration mean,Duration std dev,Proportion of time,Total duration,Number of occurrences,Duration mean,Duration std dev,Proportion of time,Total duration,Number of occurrences,Duration mean,Duration std dev,Proportion of time,Total duration,Number of occurrences,Duration mean,Duration std dev,Proportion of time,Total duration,Number of occurrences,Duration mean,Duration std dev,Proportion of time,Total duration,Number of occurrences,Duration mean,Duration std dev,Proportion of time,Total duration,Number of occurrences,Duration mean,Duration std dev,Proportion of time,Total duration,Number of occurrences,Duration mean,Duration std dev,Proportion of time,Total duration,Number of occurrences,Duration mean,Duration std dev,Proportion of time,Total duration,Number of occurrences,Duration mean,Duration std dev,Proportion of time,Total duration,Number of occurrences,Duration mean,Duration std dev,Proportion of time,Total duration,Number of occurrences,Duration mean,Duration std dev,Proportion of time
for	QA11	20181112	0,1635.070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220.314,1,220.314,0,0.135,0,0,0,0,0
for	QA11	20181112	23,1849.430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187.851,7,26.836,50.442,0.102,0,0,0,0,0
for	QA11	20181113	23,1174.430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,393.127,7,56.161,70.790,0.335,0,0,0,0,0
for	QA11	20181113	4,1554.430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
for	QA11	20181114	0,1277.140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115.167,5,23.033,22.371,0.090,0,0,0,0,0
for	QA11	20181114	17,1486.640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
for	QA11	20181114	23,1287.210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,326.568,7,46.653,37.327,0.254,0,0,0,0,0
for	QA11	20181114	9,2349.140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
for	QA11	20181118	10,1917.290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
for	QA11	20181118	13,2261.570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
for	QA11	20181118	14,2196.290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,207.060,4,51.765,51.554,0.094
for	QA11	20181118	19,949.140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
